reviews,lemmas,lemmas,aspectCategory
Most of the sandwiches are made with soy mayonaise which is actually pretty good.,"['actual', 'pretti', 'mayonais', 'sandwich', 'soy', 'make', 'good']",actually pretty;pretty good;,food
i went in one day asking for a table for a group and was greeted by a very rude hostess.,"['tabl', 'one', 'rude', 'host', 'group', 'day', 'go', 'greet', 'ask']",i went;very rude;rude hostess;,service
It's worthwhile to take a cab to Chelsea just for an awesome dinner at My Chelsea.,"['awesom', 'cab', 'dinner', 'take', 'worthwhil', 'chelsea']",awesome dinner;,anecdotes/miscellaneous
"Not only is the food authentic, but the staff here are practically off-the-boat, they are young and hip and know what they are doing when it comes to food and wine.","['come', 'boat', 'know', 'staff', 'young', 'wine', 'practic', 'hip', 'food', 'authent']",not only;only is;food authentic;here are;practically off-the-boat;,food
"It has good music, nice tapas, an interesting selection of wines (primarily Spanish) and a lowkey hip neighborhood clientele.","['neighborhood', 'clientel', 'lowkey', 'nice', 'interest', 'win', 'tapa', 'music', 'good', 'select', 'hip', 'primarili', 'spanish']",good music;nice tapas;interesting selection;primarily spanish;lowkey hip;,ambience
"The food is great, I love their dumplings, cold sesame noodles, chicken and shrimp dishs.","['sesam', 'cold', 'shrimp', 'chicken', 'dumpl', 'dish', 'food', 'love', 'noodl', 'great']",i love;cold sesame;,food
"And the food, well the food will keep you coming back.","['come', 'back', 'keep', 'well', 'food']",,food
Waiting three hours before getting our entrees was a treat as well.,"['get', 'three', 'well', 'hour', 'wait', 'entre', 'treat']",as well;,service
It's the conversations that make this a fun place to be.,"['make', 'place', 'convers', 'fun']",fun place;,ambience
"My gf's duck confitte was very solid as well, although i have little base of reference.","['base', 'although', 'duck', 'well', 'littl', 'refer', 'confitt', 'gf', 'solid']",very solid;little base;,food
"The wine list was superb, our tapas delightful, and the quiet atmosphere perfect for good conversation.","['delight', 'list', 'atmospher', 'superb', 'convers', 'perfect', 'tapa', 'quiet', 'good', 'wine']",wine list;quiet atmosphere;good conversation;,food
You can eat gourmet food at a fast food price.,"['eat', 'gourmet', 'fast', 'food', 'price']",gourmet food;fast food;,food
"I've eaten at all three locations and I always love, love the food, the service is always wonderful and the prices are really reasonable.","['food', 'wonder', 'reason', 'three', 'locat', 'alway', 'servic', 'price', 'realli', 'eat', 'love']",always love;always wonderful;really reasonable;,food
"Not because I was pregnant, but the food here is always delicious.","['alway', 'food', 'pregnant', 'delici']",here is;always delicious;,food
Had a great meal there this weekend before heading to the movies!,"['head', 'movi', 'meal', 'weekend', 'great']",great meal;,food
We had a birthday party here recently and the food and service was amazing.,"['amaz', 'servic', 'recent', 'birthday', 'food', 'parti']",here recently;,food
"the dinner menu offers a variety of great entrees, including fresh seafood and huge steaks, there's also a couple of non-meat alternatives.","['fresh', 'coupl', 'includ', 'also', 'huge', 'altern', 'dinner', 'menu', 'varieti', 'offer', 'seafood', 'non', 'entre', 'steak', 'meat', 'great']",great entrees;fresh seafood;huge steaks;non-meat alternatives;,food
This place has the strangest menu and the restaurants tries too hard to make fancy food.,"['food', 'restaur', 'fanci', 'make', 'menu', 'hard', 'tri', 'place', 'strangest']",strangest menu;too hard;fancy food;,food
"The appetizers are ok, but the service is slow.","['servic', 'appet', 'ok', 'slow']",,food
the food - not worth the price.,"['worth', 'food', 'price']",,price
"What can you say about a place where the waitress brings out the wrong entree, then verbally assaults your 80 year old grandmother and gives her lip about sending it back (which she did politely, by the way).","['back', 'assault', 'year', 'place', 'bring', 'send', 'give', 'old', 'grandmoth', 'say', 'polit', 'way', 'entre', 'waitress', 'verbal', 'wrong', 'lip']",wrong entree;then verbally;verbally assaults;year old;old grandmother;,service
The prices are not terrible.,"['price', 'terribl']",not terrible;,price
15% gratuity automatically added to the bill.,"['bill', 'add', 'automat', 'gratuiti']",automatically added;,price
"The halibut cheek appetizer came with a generous portion of foie gras, but that's about the only positive thing I can say about the meal.","['come', 'halibut', 'meal', 'posit', 'cheek', 'appet', 'gener', 'gra', 'say', 'portion', 'foie', 'thing']",halibut cheek;cheek appetizer;generous portion;only positive;positive thing;,food
Food is excellent and they also have empenadas and plaintains which are good for an afternoon snack.,"['also', 'excel', 'snack', 'plaintain', 'good', 'food', 'empenada', 'afternoon']",also have;have empenadas;,food
Both a number of the appetizer and pasta specials were amazing.,"['pasta', 'amaz', 'appet', 'special', 'number']",,food
"All-time favorites include the Big Mac, Chicken McNuggets, Filet-O-Fish sandwich and McDonald's famous french fries; lighter options like entree-sized salads are also available.","['mcnugget', 'like', 'also', 'chicken', 'salad', 'sandwich', 'favorit', 'mcdonald', 'entre', 'includ', 'filet', 'option', 'big', 'french', 'mac', 'fish', 'famou', 'size', 'lighter', 'time', 'fri', 'avail']",all-time favorites;big mac;chicken mcnuggets;filet-o-fish sandwich;famous french;french fries;lighter options;entree-sized salads;also available;,food
"Although somewhat loud, the noise was minimally intrusive.","['nois', 'intrus', 'loud', 'somewhat', 'minim', 'although']",somewhat loud;minimally intrusive;,ambience
"It's a basic pizza joint, not much to look at, but the pizza is what I go for.","['pizza', 'much', 'basic', 'look', 'go', 'joint']",basic pizza;not much;,ambience
"Tables are close, so you better be comfortable bumping elbows with other patrons.","['tabl', 'elbow', 'comfort', 'bump', 'better', 'close', 'patron']",better be;comfortable bumping;bumping elbows;other patrons;,ambience
Was her Monday for lunch - was working on a film in the area - and found this rare jewel.,"['find', 'jewel', 'area', 'monday', 'work', 'lunch', 'rare', 'film']",rare jewel;,anecdotes/miscellaneous
"Not too much so, but enough that there's a great scene.","['much', 'scene', 'enough', 'great']",not too;too much;great scene;,ambience
You feel like you made it to New York when you eat here.,"['like', 'new', 'feel', 'york', 'make', 'eat']",new york;,anecdotes/miscellaneous
We'd walked by it dozens of times and finally settled on a Monday night.,"['time', 'settl', 'dozen', 'night', 'monday', 'final', 'walk']",finally settled;monday night;,anecdotes/miscellaneous
"SUM IT: don't read the '10's' reviews, try it to judge for yourself so you won't have as hi expectations, then you'll be sure to enjoy it.","['judg', 'hi', 'read', 'enjoy', 'sure', 'expect', 'sum', 'tri', 'review']",n't read;n't have;hi expectations;,anecdotes/miscellaneous
"We went there, no one greeted us.","['go', 'greet', 'one', 'us']",,service
Dug the blue bar area too.,"['bar', 'blue', 'area', 'dig']",blue bar;,ambience
We spent so much time getting elbowed around while we waited we left.,"['time', 'get', 'leav', 'spend', 'much', 'elbow', 'wait', 'around']",so much;much time;,ambience
"I got the opportunity to dine at your establishment again a few weeks ago, I was in your upstrairs dining area.","['get', 'dine', 'area', 'upstrair', 'week', 'establish', 'opportun', 'din', 'ago']",few weeks;upstrairs dining;dining area;,anecdotes/miscellaneous
"Meat-phobes are in luck with the extraordinary veggie burger, made from a distinctive blend of chickpeas, carrots and other vegetables and spices.","['extraordinari', 'spice', 'chickpea', 'veggi', 'phobe', 'blend', 'make', 'luck', 'carrot', 'burger', 'distinct', 'veget', 'meat']",extraordinary veggie;distinctive blend;other vegetables;,food
"At peak times, the restaurant is overcrowded and tables are uncomfortably close.","['tabl', 'time', 'restaur', 'peak', 'close', 'overcrowd', 'uncomfort']",peak times;uncomfortably close;,ambience
The service was on point - what else you would expect from a Ritz?,"['point', 'els', 'servic', 'would', 'expect', 'ritz']",,service
"Menus feature seasonal picks, like sweet corn-foie gras brulee.","['season', 'like', 'sweet', 'corn', 'brule', 'featur', 'menu', 'gra', 'foie', 'pick']",seasonal picks;sweet corn-foie;corn-foie gras;,food
"Innovations are just as assured, from the simple Carinthia cheese ravioli with wild mushrooms to the caviar-topped sturgeon, beautifully matched with a bright green spinach-vodka sauce.","['mushroom', 'bright', 'vodka', 'wild', 'sturgeon', 'chees', 'match', 'beauti', 'top', 'assur', 'simpl', 'carinthia', 'innov', 'ravioli', 'caviar', 'green', 'spinach', 'sauc']",simple carinthia;carinthia cheese;cheese ravioli;wild mushrooms;caviar-topped sturgeon;beautifully matched;bright green;green spinach-vodka;,food
"And these are not small, wimpy fast food type burgers - these are real, full sized patties.","['small', 'real', 'patti', 'type', 'fast', 'full', 'size', 'wimpi', 'burger', 'food']",not small;full sized;sized patties;,food
"There restaurant is very casual, but perfect for lunch, and their delivery service is always very fast.","['restaur', 'casual', 'perfect', 'fast', 'servic', 'alway', 'deliveri', 'lunch']",very casual;always very;very fast;,ambience
Chinatown definitely has better quality with cheaper prices.,"['cheaper', 'qualiti', 'better', 'chinatown', 'definit', 'price']",definitely has;better quality;cheaper prices;,food
I had to flag down a third staff person for a fork... so now it's goodbye Little RUDE Pie Company.,"['flag', 'fork', 'goodby', 'staff', 'rude', 'littl', 'third', 'pie', 'person', 'compani']",third staff;so now;goodbye little;little rude;,service
I have been in NYC for over 10 years and could not find this delicacy east of the Hudson .,"['find', 'delicaci', 'could', 'year', 'hudson', 'east', 'nyc']",not find;,anecdotes/miscellaneous
"Go with the specials, and stay away from the salmon.","['away', 'salmon', 'stay', 'special', 'go']",,food
The pastas were pretty good.,"['pretti', 'pasta', 'good']",pretty good;,food
Atmosphere is a bore.,"['bore', 'atmospher']",atmosphere is;,ambience
The decor is what initially got me in the door.,"['door', 'initi', 'decor', 'get']",initially got;,ambience
The wait staff was very attentive and polite.,"['staff', 'wait', 'attent', 'polit']",wait staff;very attentive;,service
"Great restaurant, and even greater food!","['restaur', 'greater', 'even', 'food', 'great']",great restaurant;even greater;greater food;,food
The dishes are remarkably tasty and such a cozy and intimate place!,"['cozi', 'remark', 'dish', 'place', 'intim', 'tasti']",remarkably tasty;intimate place;,food
Save room for the desserts! ;-),"['dessert', 'room', 'save']",save room;,food
"I love the simplicity and respect which was given to the food, as well the staff was freindly and knowledgable.","['knowledg', 'staff', 'simplic', 'respect', 'give', 'well', 'freindli', 'food', 'love']",as well;,food
Service was good and so was the atmosphere.,"['servic', 'good', 'atmospher']",so was;,service
MY date and I both ordered the Branzini and both felt the fish was very average.,"['branzini', 'date', 'fish', 'order', 'averag', 'felt']",very average;,food
We were there March 7 and found Maison very nice.,"['march', 'find', 'nice', 'maison']",maison very;very nice;,anecdotes/miscellaneous
"The food was good, the service prompt, and the price very reasonable.","['reason', 'prompt', 'servic', 'good', 'food', 'price']",very reasonable;,food
"Wonderful menu, warm inviting ambiance, great service the FOOD keeps me coming back!","['come', 'food', 'ambianc', 'wonder', 'keep', 'back', 'invit', 'menu', 'servic', 'warm', 'great']",wonderful menu;warm inviting;great service;,food
"Great food, good wine and an excellent host.","['excel', 'host', 'good', 'food', 'wine', 'great']",great food;good wine;excellent host;,food
went there last night with my coworker.,"['last', 'go', 'cowork', 'night']",last night;,anecdotes/miscellaneous
Pizzas were excellent in addition to appetizers and main courses.,"['main', 'excel', 'appet', 'cours', 'addit', 'pizza']",main courses;,food
"Definitely try the calamari, any pasta, or even the Sliced steak entree.","['slice', 'entre', 'steak', 'pasta', 'even', 'calamari', 'definit', 'tri']",definitely try;sliced steak;,food
The caeser salad was great.,"['salad', 'caeser', 'great']",,food
The fried calamari was even better!,"['even', 'fri', 'better', 'calamari']",fried calamari;even better;,food
The atmosphere was nice but it was a little too dark.,"['littl', 'nice', 'dark', 'atmospher']",too dark;,ambience
The food was good overall.,"['food', 'overal', 'good']",good overall;,food
